group,year,gini,theil
101,1,0.190648057,0.054924067
101,2,0.178782674,0.047825372
101,3,0.203107354,0.070652971
101,4,0.217482767,0.077640356
101,5,0.234357134,0.083246985
101,6,0.199046751,0.060862495
101,7,0.220086925,0.078420578
101,8,0.259534249,0.10972471
101,9,0.267591481,0.123174624
101,10,0.234144148,0.092112078
102,1,0.161213084,0.042238541
102,2,0.200179589,0.066302301
102,3,0.198545556,0.065659719
102,4,0.224048004,0.080834329
102,5,0.204945935,0.065810372
102,6,0.206039258,0.068152508
102,7,0.217791092,0.07789683
102,8,0.242687722,0.097942786
102,9,0.25766812,0.116540875
102,10,0.235844999,0.094200114
103,1,0.156750671,0.038318584
103,2,0.19678019,0.062334864
103,3,0.173487676,0.045852932
103,4,0.171870821,0.044277169
103,5,0.244266462,0.093799638
103,6,0.236644241,0.096517595
103,7,0.206662995,0.068621815
103,8,0.252699003,0.106094639
103,9,0.241277435,0.098180457
103,10,0.252757506,0.117544847
104,1,0.167703729,0.042913884
104,2,0.181603746,0.052418407
104,3,0.179917266,0.054238326
104,4,0.209461154,0.07418763
104,5,0.216872421,0.078611031
104,6,0.189444301,0.057876558
104,7,0.196024135,0.063645202
104,8,0.267493096,0.121443008
104,9,0.267683397,0.125748439
104,10,0.267142261,0.124938342
105,1,0.184357775,0.054628502
105,2,0.200933395,0.071265358
105,3,0.186749633,0.054307207
105,4,0.196890161,0.060097499
105,5,0.174655912,0.04744115
105,6,0.221535779,0.090007425
105,7,0.224044006,0.087955918
105,8,0.239782405,0.104875612
105,9,0.251511507,0.117147393
105,10,0.232559967,0.098944621
106,1,0.29017429,0.114449531
106,2,0.163479074,0.026957808
106,3,0.124279988,0.011702899
106,4,0.600638893,0.299012788
106,5,0.373154367,0.154272282
106,6,0.090679668,0.010055305
106,7,0.48028176,0.294573214
106,8,0.349406156,0.163283218
106,9,0.143378979,0.020742518
106,10,0.18976444,0.032504124
107,1,0,0
107,2,0,0
107,3,0,0
107,4,0,0
107,5,0,0
107,6,0,0
107,7,0,0
107,8,0.462892782,0.168610397
107,9,0.458470026,0.204059135
107,10,0,0
201,1,0,0
201,2,0,0
201,3,0,0
201,4,0,0
201,5,0,0
201,6,0.237502751,0.095799432
201,7,0.230454916,0.097905373
201,8,0.229288922,0.09971861
201,9,0.228858554,0.085137933
201,10,0.226840143,0.085941565
202,1,0,0
202,2,0,0
202,3,0,0
202,4,0,0
202,5,0,0
202,6,0.214120317,0.074427703
202,7,0.226618755,0.084739269
202,8,0.246602769,0.099021235
202,9,0.241391727,0.09493744
202,10,0.233951724,0.087506161
203,1,0,0
203,2,0,0
203,3,0,0
203,4,0,0
203,5,0,0
203,6,0.247614718,0.107372398
203,7,0.232669504,0.085268572
203,8,0.24358436,0.093391515
203,9,0.242170956,0.095367233
203,10,0.247479318,0.096479106
204,1,0,0
204,2,0,0
204,3,0,0
204,4,0,0
204,5,0,0
204,6,0.264826479,0.115360409
204,7,0.275705223,0.125503187
204,8,0.269658037,0.122010591
204,9,0.291909253,0.141542382
204,10,0.299498779,0.151050217
205,1,0,0
205,2,0,0
205,3,0,0
205,4,0,0
205,5,0,0
205,6,0.297491908,0.147509431
205,7,0.304011134,0.153836714
205,8,0.307167959,0.158767504
205,9,0.315613274,0.16034075
205,10,0.286955119,0.13168561
206,1,0,0
206,2,0,0
206,3,0,0
206,4,0,0
206,5,0,0
206,6,0.300495298,0.138849837
206,7,0.298653122,0.137098746
206,8,0.272615511,0.122655399
206,9,0.314425767,0.152567163
206,10,0.242877142,0.085513898
207,1,0,0
207,2,0,0
207,3,0,0
207,4,0,0
207,5,0,0
207,6,0,0
207,7,0,0
207,8,0,0
207,9,0.170836782,0.014664426
207,10,0.647050673,0.375828579
301,1,0.241372922,0.093616579
301,2,0.263342827,0.121957208
301,3,0.222034577,0.076857394
301,4,0.258728957,0.108227829
301,5,0.271740392,0.116291258
301,6,0.219660382,0.079104626
301,7,0.231291023,0.095610915
301,8,0.254995428,0.11018852
301,9,0.282494115,0.129243795
301,10,0.275688062,0.131292008
302,1,0.208988092,0.070609581
302,2,0.220128079,0.078603767
302,3,0.220451354,0.0783325
302,4,0.239409759,0.089532593
302,5,0.235367004,0.087067295
302,6,0.246554442,0.097557324
302,7,0.257617565,0.10853058
302,8,0.262809828,0.113308625
302,9,0.282403409,0.137139295
302,10,0.284060898,0.149667934
303,1,0.275118995,0.11694724
303,2,0.263767794,0.110019043
303,3,0.214966568,0.076008129
303,4,0.237865354,0.089632764
303,5,0.25373215,0.115776355
303,6,0.261123585,0.107856412
303,7,0.285132488,0.138581546
303,8,0.24749168,0.100577334
303,9,0.278020742,0.129278099
303,10,0.3137576,0.194668332
304,1,0.257371227,0.126112319
304,2,0.236959822,0.090160526
304,3,0.229949509,0.08519995
304,4,0.275175309,0.120541962
304,5,0.272758384,0.118926199
304,6,0.282824663,0.129912906
304,7,0.293944858,0.144120645
304,8,0.294783962,0.152352593
304,9,0.320700077,0.17756006
304,10,0.308383808,0.18497719
305,1,0.223758392,0.079492043
305,2,0.24182114,0.093241852
305,3,0.261421361,0.110364112
305,4,0.262257195,0.109146983
305,5,0.255129328,0.108190215
305,6,0.277700453,0.125730914
305,7,0.274787941,0.122793118
305,8,0.28054146,0.128567616
305,9,0.309884176,0.162303596
305,10,0.291045966,0.146104122
306,1,0.258740517,0.098839551
306,2,0.223131799,0.074804879
306,3,0.336737951,0.15938204
306,4,0.332054322,0.157376762
306,5,0.28835179,0.118394203
306,6,0.28421592,0.119064805
306,7,0.297413597,0.134111186
306,8,0.268909228,0.107093776
306,9,0.288296619,0.12830791
306,10,0.260523249,0.109153031
307,1,0,0
307,2,0,0
307,3,0,0
307,4,0,0
307,5,0,0
307,6,0.202898737,0.043268365
307,7,0.263937296,0.035247567
307,8,0,0
307,9,0.467395123,0.175193345
307,10,0.236524719,0.059218926
401,1,0,0
401,2,0,0
401,3,0,0
401,4,0,0
401,5,0,0
401,6,0.255145622,0.109404576
401,7,0.27294316,0.131114691
401,8,0.261183544,0.12047146
401,9,0.289718048,0.137048246
401,10,0.254073719,0.102199946
402,1,0,0
402,2,0,0
402,3,0,0
402,4,0,0
402,5,0,0
402,6,0.237452138,0.095912535
402,7,0.242138588,0.104868379
402,8,0.254504598,0.108966774
402,9,0.27283387,0.119783093
402,10,0.266368223,0.11776152
403,1,0,0
403,2,0,0
403,3,0,0
403,4,0,0
403,5,0,0
403,6,0.26936182,0.121138746
403,7,0.253143108,0.101941835
403,8,0.24815141,0.099457131
403,9,0.313454078,0.169118094
403,10,0.31956728,0.192098804
404,1,0,0
404,2,0,0
404,3,0,0
404,4,0,0
404,5,0,0
404,6,0.340149627,0.25958278
404,7,0.317122677,0.19696862
404,8,0.330832474,0.197067108
404,9,0.330869478,0.191874211
404,10,0.33500275,0.223022384
405,1,0,0
405,2,0,0
405,3,0,0
405,4,0,0
405,5,0,0
405,6,0.296821024,0.147112202
405,7,0.297314518,0.154448018
405,8,0.302410314,0.167755793
405,9,0.367132508,0.264008125
405,10,0.355843725,0.249363085
406,1,0,0
406,2,0,0
406,3,0,0
406,4,0,0
406,5,0,0
406,6,0.348630877,0.226883519
406,7,0.266040734,0.121699953
406,8,0.296774831,0.141092852
406,9,0.485406322,0.373554988
406,10,0.368928287,0.211762275
407,1,0,0
407,2,0,0
407,3,0,0
407,4,0,0
407,5,0,0
407,6,0.454131806,0.222545669
407,7,0.226536452,0.041558969
407,8,0.311309678,0.095403713
407,9,0.081518372,0.005009734
407,10,0.070680996,0.002499986
501,1,0,0
501,2,0,0
501,3,0,0
501,4,0,0
501,5,0,0
501,6,0.188035268,0.055701994
501,7,0.510766772,0.439808307
501,8,0.267283461,0.117987326
501,9,0.248592307,0.096740568
501,10,0.307312436,0.15021547
502,1,0,0
502,2,0,0
502,3,0,0
502,4,0,0
502,5,0,0
502,6,0.187338994,0.065568604
502,7,0.491558762,0.427958228
502,8,0.281820868,0.124657794
502,9,0.291792232,0.134599245
502,10,0.300989442,0.144640769
503,1,0,0
503,2,0,0
503,3,0,0
503,4,0,0
503,5,0,0
503,6,0.271533053,0.133207703
503,7,0.518225657,0.447618649
503,8,0.285822641,0.148601534
503,9,0.235547933,0.086692445
503,10,0.283456101,0.123981801
504,1,0,0
504,2,0,0
504,3,0,0
504,4,0,0
504,5,0,0
504,6,0.206478017,0.070724262
504,7,0.445692528,0.346638897
504,8,0.280164479,0.127404683
504,9,0.285101114,0.145612271
504,10,0.281838142,0.151527475
505,1,0,0
505,2,0,0
505,3,0,0
505,4,0,0
505,5,0,0
505,6,0.223453372,0.078226872
505,7,0.439771828,0.337505561
505,8,0.242241474,0.098196348
505,9,0.267091809,0.117486162
505,10,0.294439083,0.145016848
506,1,0,0
506,2,0,0
506,3,0,0
506,4,0,0
506,5,0,0
506,6,0,0
506,7,0.310411062,0.112710654
506,8,0.344536621,0.094255286
506,9,0.316605365,0.10344593
506,10,0.187947495,0.017767612
507,1,0,0
507,2,0,0
507,3,0,0
507,4,0,0
507,5,0,0
507,6,0,0
507,7,0,0
507,8,0,0
507,9,0,0
507,10,0,0
601,1,0,0
601,2,0,0
601,3,0,0
601,4,0,0
601,5,0,0
601,6,0.231850111,0.090499331
601,7,0.28845944,0.138924112
601,8,0.304825641,0.155061021
601,9,0.283953324,0.1304545
601,10,0.306094725,0.151968041
602,1,0,0
602,2,0,0
602,3,0,0
602,4,0,0
602,5,0,0
602,6,0.27492576,0.124023347
602,7,0.299969296,0.155791137
602,8,0.309391085,0.164934176
602,9,0.313512166,0.165550908
602,10,0.322162927,0.187908748
603,1,0,0
603,2,0,0
603,3,0,0
603,4,0,0
603,5,0,0
603,6,0.272883308,0.124080274
603,7,0.299114343,0.149855348
603,8,0.307977388,0.159279524
603,9,0.334521258,0.228229453
603,10,0.33227349,0.186475497
604,1,0,0
604,2,0,0
604,3,0,0
604,4,0,0
604,5,0,0
604,6,0.286819918,0.135333453
604,7,0.307285226,0.155132722
604,8,0.308191863,0.157516451
604,9,0.331901858,0.186029353
604,10,0.324807053,0.180828536
605,1,0,0
605,2,0,0
605,3,0,0
605,4,0,0
605,5,0,0
605,6,0.292690438,0.152153529
605,7,0.317632877,0.188811229
605,8,0.339813428,0.220723653
605,9,0.319831873,0.173500929
605,10,0.31807061,0.173568961
606,1,0,0
606,2,0,0
606,3,0,0
606,4,0,0
606,5,0,0
606,6,0.283520684,0.130747032
606,7,0.327764332,0.176453118
606,8,0.303989484,0.155858778
606,9,0.314972409,0.157909086
606,10,0.328314159,0.180654108
607,1,0,0
607,2,0,0
607,3,0,0
607,4,0,0
607,5,0,0
607,6,0.400669335,0.208224051
607,7,0.523290649,0.506829698
607,8,0.528820136,0.478235425
607,9,0.422010627,0.279869291
607,10,0.405522775,0.235993361
701,1,0,0
701,2,0,0
701,3,0,0
701,4,0,0
701,5,0,0
701,6,0.22340151,0.08069752
701,7,0.241350871,0.097152041
701,8,0.283615371,0.147201926
701,9,0.246286853,0.10599323
701,10,0.274749224,0.127516701
702,1,0,0
702,2,0,0
702,3,0,0
702,4,0,0
702,5,0,0
702,6,0.224884156,0.08087452
702,7,0.22258034,0.07972529
702,8,0.265196765,0.120874271
702,9,0.26353901,0.113979152
702,10,0.246044445,0.09896163
703,1,0,0
703,2,0,0
703,3,0,0
703,4,0,0
703,5,0,0
703,6,0.236540366,0.087991633
703,7,0.248970286,0.102368244
703,8,0.301090184,0.154415544
703,9,0.280816318,0.134436122
703,10,0.275622132,0.121522354
704,1,0,0
704,2,0,0
704,3,0,0
704,4,0,0
704,5,0,0
704,6,0.243583789,0.098560803
704,7,0.24574376,0.097999146
704,8,0.281488484,0.138879577
704,9,0.287140993,0.136270232
704,10,0.243515058,0.096148123
705,1,0,0
705,2,0,0
705,3,0,0
705,4,0,0
705,5,0,0
705,6,0.260782667,0.112282802
705,7,0.273022454,0.126139394
705,8,0.319030002,0.198764288
705,9,0.323151134,0.181624911
705,10,0.281149937,0.131628058
706,1,0,0
706,2,0,0
706,3,0,0
706,4,0,0
706,5,0,0
706,6,0.332363632,0.177340862
706,7,0.367306401,0.207248913
706,8,0.346368532,0.18631092
706,9,0.363978063,0.214098956
706,10,0.384893413,0.246776221
707,1,0,0
707,2,0,0
707,3,0,0
707,4,0,0
707,5,0,0
707,6,0.360679306,0.226261112
707,7,0.239219391,0.077429892
707,8,0.39023411,0.24018384
707,9,0.224162237,0.05387448
707,10,0,0
801,1,0,0
801,2,0,0
801,3,0,0
801,4,0,0
801,5,0,0
801,6,0.227461006,0.082151237
801,7,0.255896808,0.108411966
801,8,0.271166003,0.148689092
801,9,0.262415105,0.118871794
801,10,0.256214613,0.118899492
802,1,0,0
802,2,0,0
802,3,0,0
802,4,0,0
802,5,0,0
802,6,0.228987026,0.088646085
802,7,0.226944058,0.090852358
802,8,0.248167044,0.111548956
802,9,0.230744494,0.086842423
802,10,0.268907267,0.13840316
803,1,0,0
803,2,0,0
803,3,0,0
803,4,0,0
803,5,0,0
803,6,0.246898319,0.115991371
803,7,0.26949744,0.131404714
803,8,0.250086209,0.100193737
803,9,0.231307176,0.084296527
803,10,0.232548957,0.086774343
804,1,0,0
804,2,0,0
804,3,0,0
804,4,0,0
804,5,0,0
804,6,0.246035531,0.096504166
804,7,0.252942047,0.111882555
804,8,0.279684451,0.15731744
804,9,0.266391415,0.118848064
804,10,0.278708464,0.146322619
805,1,0,0
805,2,0,0
805,3,0,0
805,4,0,0
805,5,0,0
805,6,0.289288443,0.151626969
805,7,0.293036884,0.166811232
805,8,0.272962258,0.126595737
805,9,0.306727666,0.156865877
805,10,0.248995126,0.105904425
806,1,0,0
806,2,0,0
806,3,0,0
806,4,0,0
806,5,0,0
806,6,0.237577954,0.088671415
806,7,0.295280007,0.133787446
806,8,0.262697452,0.108696713
806,9,0.351498888,0.196666816
806,10,0.309826475,0.149794612
807,1,0,0
807,2,0,0
807,3,0,0
807,4,0,0
807,5,0,0
807,6,0.704896759,0.274708669
807,7,0.401480436,0.082911369
807,8,0,0
807,9,0,0
807,10,0,0
901,1,0,0
901,2,0,0
901,3,0,0
901,4,0,0
901,5,0,0
901,6,0.260682241,0.12422504
901,7,0.275103342,0.139412871
901,8,0.269432766,0.122226195
901,9,0.268319329,0.122629926
901,10,0.251244484,0.100642242
902,1,0,0
902,2,0,0
902,3,0,0
902,4,0,0
902,5,0,0
902,6,0.245672566,0.099917328
902,7,0.254948323,0.106895959
902,8,0.277334198,0.132087648
902,9,0.271401626,0.123417675
902,10,0.2721367,0.121838352
903,1,0,0
903,2,0,0
903,3,0,0
903,4,0,0
903,5,0,0
903,6,0.272753235,0.120067095
903,7,0.281582224,0.128132248
903,8,0.279424136,0.127982721
903,9,0.292777854,0.142503144
903,10,0.283840732,0.13322839
904,1,0,0
904,2,0,0
904,3,0,0
904,4,0,0
904,5,0,0
904,6,0.284028304,0.135735657
904,7,0.284535062,0.136534448
904,8,0.281256643,0.131267898
904,9,0.29582092,0.142375797
904,10,0.291524603,0.138672583
905,1,0,0
905,2,0,0
905,3,0,0
905,4,0,0
905,5,0,0
905,6,0.287735777,0.139710952
905,7,0.275943652,0.130819243
905,8,0.297090775,0.14487559
905,9,0.282713895,0.131591758
905,10,0.273617928,0.120202565
906,1,0,0
906,2,0,0
906,3,0,0
906,4,0,0
906,5,0,0
906,6,0.332325927,0.164528071
906,7,0.342509163,0.173956084
906,8,0.402259653,0.237830897
906,9,0.319463636,0.149503548
906,10,0.401857652,0.302215491
907,1,0,0
907,2,0,0
907,3,0,0
907,4,0,0
907,5,0,0
907,6,0.40722656,0.156741239
907,7,0.510433591,0.20870786
907,8,0.304045647,0.04696175
907,9,0.424909679,0.191786836
907,10,0.547249285,0.158287765
1001,1,0,0
1001,2,0,0
1001,3,0,0
1001,4,0,0
1001,5,0,0
1001,6,0.242280523,0.112316204
1001,7,0.21181318,0.074393878
1001,8,0.205829279,0.070149541
